#NumNodes NumBases UnitTravelTime RespThreshold
121 8.50 1.50 0.006500
122 8.50 2.50 0.012848
123 8.50 3.50 0.021197
124 8.50 4.50 0.031643
125 8.50 5.50 0.043657
126 8.50 6.50 0.054019
127 8.50 7.50 0.058184
128 8.50 8.50 0.054019
129 8.50 9.50 0.043657
130 8.50 10.50 0.031643
131 8.50 11.50 0.021197
132 8.50 12.50 0.012848
133 8.50 13.50 0.006500
134 8.50 14.50 0.002535
135 9.50 0.50 0.005646
136 9.50 1.50 0.013717
137 9.50 2.50 0.023318
138 9.50 3.50 0.029907
139 9.50 4.50 0.033559
140 9.50 5.50 0.038098
141 9.50 6.50 0.043657
142 9.50 7.50 0.046277
143 9.50 8.50 0.043657
144 9.50 9.50 0.038098
145 9.50 10.50 0.033559
146 9.50 11.50 0.029907
147 9.50 12.50 0.023318
148 9.50 13.50 0.013717
149 9.50 14.50 0.005646
150 10.50 0.50 0.011686
151 10.50 1.50 0.027812
152 10.50 2.50 0.044208
153 10.50 3.50 0.048648
154 10.50 4.50 0.041183
155 10.50 5.50 0.033559
156 10.50 6.50 0.031643
157 10.50 7.50 0.031968
158 10.50 8.50 0.031643
159 10.50 9.50 0.033559
160 10.50 10.50 0.041183
161 10.50 11.50 0.048648
162 10.50 12.50 0.044208
163 10.50 13.50 0.027812
164 10.50 14.50 0.011686
165 11.50 0.50 0.017316
166 11.50 1.50 0.040954
167 11.50 2.50 0.063728
168 11.50 3.50 0.066283
169 11.50 4.50 0.048648
170 11.50 5.50 0.029907
171 11.50 6.50 0.021197
172 11.50 7.50 0.019448
173 11.50 8.50 0.021197
174 11.50 9.50 0.029907
175 11.50 10.50 0.048648
176 11.50 11.50 0.066283
177 11.50 12.50 0.063728
178 11.50 13.50 0.040954
179 11.50 14.50 0.017316
180 12.50 0.50 0.017127
181 12.50 1.50 0.040427
182 12.50 2.50 0.062473
183 12.50 3.50 0.063728
184 12.50 4.50 0.044208
185 12.50 5.50 0.023318
186 12.50 6.50 0.012848
187 12.50 7.50 0.010413
188 12.50 8.50 0.012848
189 12.50 9.50 0.023318
190 12.50 10.50 0.044208
191 12.50 11.50 0.063728
192 12.50 12.50 0.062473
193 12.50 13.50 0.040427
194 12.50 14.50 0.017127
195 13.50 0.50 0.011118
196 13.50 1.50 0.026225
197 13.50 2.50 0.040427
198 13.50 3.50 0.040954
199 13.50 4.50 0.027812
200 13.50 5.50 0.013717
201 13.50 6.50 0.006500
202 13.50 7.50 0.004760
203 13.50 8.50 0.006500
204 13.50 9.50 0.013717
205 13.50 10.50 0.027812
206 13.50 11.50 0.040954
207 13.50 12.50 0.040427
208 13.50 13.50 0.026225
209 13.50 14.50 0.011118
210 14.50 0.50 0.004714
211 14.50 1.50 0.011118
212 14.50 2.50 0.017127
213 14.50 3.50 0.017316
214 14.50 4.50 0.011686
215 14.50 5.50 0.005646
216 14.50 6.50 0.002535
217 14.50 7.50 0.001778
218 14.50 8.50 0.002535
219 14.50 9.50 0.005646
220 14.50 10.50 0.011686
221 14.50 11.50 0.017316
222 14.50 12.50 0.017127
223 14.50 13.50 0.011118
224 14.50 14.50 0.004714
#Bases: x y NumAmbs
0 4.50 13.50 0
1 10.50 13.50 0
2 3.00 12.00 1
3 12.00 12.00 1
4 1.50 10.50 0
5 4.50 10.50 0
6 7.50 10.50 0
7 10.50 10.50 0
8 13.50 10.50 0
9 6.00 9.00 0
10 9.00 9.00 0
11 4.50 7.50 0
12 7.50 7.50 1
13 10.50 7.50 0
14 6.00 6.00 0
15 9.00 6.00 0
16 1.50 4.50 0
17 4.50 4.50 0
18 7.50 4.50 0
19 10.50 4.50 0
20 13.50 4.50 0
21 3.00 3.00 1
22 12.00 3.00 1
23 4.50 1.50 0
24 10.50 1.50 0
