#NumNodes NumBases UnitTravelTime RespThreshold
75 5.50 0.50 0.086641
76 5.50 1.50 0.095384
77 5.50 2.50 0.099204
78 5.50 3.50 0.100189
79 5.50 4.50 0.100715
80 5.50 5.50 0.101712
81 5.50 6.50 0.102787
82 5.50 7.50 0.103244
83 5.50 8.50 0.102787
84 5.50 9.50 0.101712
85 5.50 10.50 0.100715
86 5.50 11.50 0.100189
87 5.50 12.50 0.099204
88 5.50 13.50 0.095384
89 5.50 14.50 0.086641
90 6.50 0.50 0.086998
91 6.50 1.50 0.095882
92 6.50 2.50 0.099749
93 6.50 3.50 0.100807
94 6.50 4.50 0.101523
95 6.50 5.50 0.102787
96 6.50 6.50 0.104089
97 6.50 7.50 0.104633
98 6.50 8.50 0.104089
99 6.50 9.50 0.102787
100 6.50 10.50 0.101523
101 6.50 11.50 0.100807
102 6.50 12.50 0.099749
103 6.50 13.50 0.095882
104 6.50 14.50 0.086998
105 7.50 0.50 0.087149
106 7.50 1.50 0.096093
107 7.50 2.50 0.099987
108 7.50 3.50 0.101081
109 7.50 4.50 0.101875
110 7.50 5.50 0.103244
111 7.50 6.50 0.104633
112 7.50 7.50 0.105210
113 7.50 8.50 0.104633
114 7.50 9.50 0.103244
115 7.50 10.50 0.101875
116 7.50 11.50 0.101081
117 7.50 12.50 0.099987
118 7.50 13.50 0.096093
119 7.50 14.50 0.087149
120 8.50 0.50 0.086998
121 8.50 1.50 0.095882
122 8.50 2.50 0.099749
123 8.50 3.50 0.100807
124 8.50 4.50 0.101523
125 8.50 5.50 0.102787
126 8.50 6.50 0.104089
127 8.50 7.50 0.104633
128 8.50 8.50 0.104089
129 8.50 9.50 0.102787
130 8.50 10.50 0.101523
131 8.50 11.50 0.100807
132 8.50 12.50 0.099749
133 8.50 13.50 0.095882
134 8.50 14.50 0.086998
135 9.50 0.50 0.086641
136 9.50 1.50 0.095384
137 9.50 2.50 0.099204
138 9.50 3.50 0.100189
139 9.50 4.50 0.100715
140 9.50 5.50 0.101712
141 9.50 6.50 0.102787
142 9.50 7.50 0.103244
143 9.50 8.50 0.102787
144 9.50 9.50 0.101712
145 9.50 10.50 0.100715
146 9.50 11.50 0.100189
147 9.50 12.50 0.099204
148 9.50 13.50 0.095384
149 9.50 14.50 0.086641
150 10.50 0.50 0.086212
151 10.50 1.50 0.094827
152 10.50 2.50 0.098675
153 10.50 3.50 0.099659
154 10.50 4.50 0.100015
155 10.50 5.50 0.100715
156 10.50 6.50 0.101523
157 10.50 7.50 0.101875
158 10.50 8.50 0.101523
159 10.50 9.50 0.100715
160 10.50 10.50 0.100015
161 10.50 11.50 0.099659
162 10.50 12.50 0.098675
163 10.50 13.50 0.094827
164 10.50 14.50 0.086212
165 11.50 0.50 0.085526
166 11.50 1.50 0.094098
167 11.50 2.50 0.098131
168 11.50 3.50 0.099304
169 11.50 4.50 0.099659
170 11.50 5.50 0.100189
171 11.50 6.50 0.100807
172 11.50 7.50 0.101081
173 11.50 8.50 0.100807
174 11.50 9.50 0.100189
175 11.50 10.50 0.099659
176 11.50 11.50 0.099304
177 11.50 12.50 0.098131
178 11.50 13.50 0.094098
179 11.50 14.50 0.085526
180 12.50 0.50 0.083754
181 12.50 1.50 0.092290
182 12.50 2.50 0.096605
183 12.50 3.50 0.098131
184 12.50 4.50 0.098675
185 12.50 5.50 0.099204
186 12.50 6.50 0.099749
187 12.50 7.50 0.099987
188 12.50 8.50 0.099749
189 12.50 9.50 0.099204
190 12.50 10.50 0.098675
191 12.50 11.50 0.098131
192 12.50 12.50 0.096605
193 12.50 13.50 0.092290
194 12.50 14.50 0.083754
195 13.50 0.50 0.079596
196 13.50 1.50 0.087849
197 13.50 2.50 0.092290
198 13.50 3.50 0.094098
199 13.50 4.50 0.094827
200 13.50 5.50 0.095384
201 13.50 6.50 0.095882
202 13.50 7.50 0.096093
203 13.50 8.50 0.095882
204 13.50 9.50 0.095384
205 13.50 10.50 0.094827
206 13.50 11.50 0.094098
207 13.50 12.50 0.092290
208 13.50 13.50 0.087849
209 13.50 14.50 0.079596
210 14.50 0.50 0.072111
211 14.50 1.50 0.079596
212 14.50 2.50 0.083754
213 14.50 3.50 0.085526
214 14.50 4.50 0.086212
215 14.50 5.50 0.086641
216 14.50 6.50 0.086998
217 14.50 7.50 0.087149
218 14.50 8.50 0.086998
219 14.50 9.50 0.086641
220 14.50 10.50 0.086212
221 14.50 11.50 0.085526
222 14.50 12.50 0.083754
223 14.50 13.50 0.079596
224 14.50 14.50 0.072111
#Bases: x y NumAmbs
0 1.50 13.50 0
1 4.50 13.50 0
2 7.50 13.50 0
3 10.50 13.50 0
4 13.50 13.50 0
5 1.50 10.50 0
6 4.50 10.50 1
7 7.50 10.50 0
8 10.50 10.50 1
9 13.50 10.50 0
10 1.50 7.50 0
11 4.50 7.50 0
12 7.50 7.50 1
13 10.50 7.50 0
14 13.50 7.50 0
15 1.50 4.50 0
16 4.50 4.50 1
17 7.50 4.50 0
18 10.50 4.50 1
19 13.50 4.50 0
20 1.50 1.50 0
21 4.50 1.50 0
22 7.50 1.50 0
23 10.50 1.50 0
24 13.50 1.50 0
