15 15 1.00 4
5 9 0.058143 -1 0 
5 10 0.047066 -1 0 
5 11 0.037679 -1 0 
5 12 0.027137 -1 0 
5 13 0.015320 -1 0 
5 14 0.006220 -1 0 
6 0 0.003263 -1 0 
6 1 0.008531 -1 0 
6 2 0.017688 -1 0 
6 3 0.031047 -1 0 
6 4 0.048760 -1 0 
6 5 0.069057 -1 0 
6 6 0.086207 -1 0 
6 7 0.093016 -1 0 
6 8 0.086207 -1 0 
6 9 0.069057 -1 0 
6 10 0.048760 -1 0 
6 11 0.031047 -1 0 
6 12 0.017688 -1 0 
6 13 0.008531 -1 0 
6 14 0.003263 -1 0 
7 0 0.002565 -1 0 
7 1 0.006957 11 0 
7 2 0.015650 -1 0 
7 3 0.030107 -1 0 
7 4 0.050491 -1 0 
7 5 0.073764 -1 0 
7 6 0.093016 -1 0 
7 7 0.100560 6 1 
7 8 0.093016 -1 0 
7 9 0.073764 -1 0 
7 10 0.050491 -1 0 
7 11 0.030107 -1 0 
7 12 0.015650 -1 0 
7 13 0.006957 1 0 
7 14 0.002565 -1 0 
8 0 0.003263 -1 0 
8 1 0.008531 -1 0 
8 2 0.017688 -1 0 
8 3 0.031047 -1 0 
8 4 0.048760 -1 0 
8 5 0.069057 -1 0 
8 6 0.086207 -1 0 
8 7 0.093016 -1 0 
8 8 0.086207 -1 0 
8 9 0.069057 -1 0 
8 10 0.048760 -1 0 
8 11 0.031047 -1 0 
8 12 0.017688 -1 0 
8 13 0.008531 -1 0 
8 14 0.003263 -1 0 
9 0 0.006220 -1 0 
9 1 0.015320 -1 0 
9 2 0.027137 -1 0 
9 3 0.037679 -1 0 
9 4 0.047066 -1 0 
9 5 0.058143 -1 0 
9 6 0.069057 -1 0 
9 7 0.073764 -1 0 
9 8 0.069057 -1 0 
9 9 0.058143 -1 0 
9 10 0.047066 -1 0 
9 11 0.037679 -1 0 
9 12 0.027137 -1 0 
9 13 0.015320 -1 0 
9 14 0.006220 -1 0 
10 0 0.012073 -1 0 
10 1 0.028892 -1 0 
10 2 0.046782 -1 0 
10 3 0.053886 -1 0 
10 4 0.050285 9 1 
10 5 0.047066 -1 0 
10 6 0.048760 -1 0 
10 7 0.050491 -1 0 
10 8 0.048760 -1 0 
10 9 0.047066 -1 0 
10 10 0.050285 4 1 
10 11 0.053886 -1 0 
10 12 0.046782 -1 0 
10 13 0.028892 -1 0 
10 14 0.012073 -1 0 
11 0 0.017538 -1 0 
11 1 0.041576 -1 0 
11 2 0.065209 -1 0 
11 3 0.069298 -1 0 
11 4 0.053886 -1 0 
11 5 0.037679 -1 0 
11 6 0.031047 -1 0 
11 7 0.030107 -1 0 
11 8 0.031047 -1 0 
11 9 0.037679 -1 0 
11 10 0.053886 -1 0 
11 11 0.069298 -1 0 
11 12 0.065209 -1 0 
11 13 0.041576 -1 0 
11 14 0.017538 -1 0 
12 0 0.017236 -1 0 
12 1 0.040733 -1 0 
12 2 0.063201 -1 0 
12 3 0.065209 -1 0 
12 4 0.046782 -1 0 
12 5 0.027137 -1 0 
12 6 0.017688 -1 0 
12 7 0.015650 -1 0 
12 8 0.017688 -1 0 
12 9 0.027137 -1 0 
12 10 0.046782 -1 0 
12 11 0.065209 -1 0 
12 12 0.063201 -1 0 
12 13 0.040733 -1 0 
12 14 0.017236 -1 0 
13 0 0.011164 -1 0 
13 1 0.026353 12 0 
13 2 0.040733 -1 0 
13 3 0.041576 -1 0 
13 4 0.028892 -1 0 
13 5 0.015320 -1 0 
13 6 0.008531 -1 0 
13 7 0.006957 7 0 
13 8 0.008531 -1 0 
13 9 0.015320 -1 0 
13 10 0.028892 -1 0 
13 11 0.041576 -1 0 
13 12 0.040733 -1 0 
13 13 0.026353 2 0 
13 14 0.011164 -1 0 
14 0 0.004731 -1 0 
14 1 0.011164 -1 0 
14 2 0.017236 -1 0 
14 3 0.017538 -1 0 
14 4 0.012073 -1 0 
14 5 0.006220 -1 0 
14 6 0.003263 -1 0 
14 7 0.002565 -1 0 
14 8 0.003263 -1 0 
14 9 0.006220 -1 0 
14 10 0.012073 -1 0 
14 11 0.017538 -1 0 
14 12 0.017236 -1 0 
14 13 0.011164 -1 0 
14 14 0.004731 -1 0 
